rotation_range,activation,cnn_unlock_epoch,base_model,num_dense_units_0,learning_rate,final_val_error,zoom_range,batch_size,height_shift_range,optimizer,epochs,cnn_learning_rate,run_name,width_shift_range,num_dense_layers,num_dense_units_1,unfreeze_percentage
24,relu,19,Xception,205,0.0003088106616919352,0.546875,0.273,35,0.267,Adam,16,7.672411366113951e-05,run_2018-02-08-152857_,0.013,3,436,0.04867229980383107
24,tanh,22,MobileNet,498,0.00025648462216023524,0.2857142826179405,0.273,21,0.267,RMSProp,32,0.000134233839888681,run_2018-02-08-140242_,0.013,3,100,0.10035949091721118
24,relu,21,MobileNet,152,0.004440858756346598,0.23376622215493936,0.273,24,0.267,Adam,64,1.3197144852527731e-05,run_2018-02-08-144120_,0.013,2,78,0.0038465833794067983
24,relu,29,ResNet50,362,0.00037933185280457767,0.921875,0.273,26,0.267,Adam,2,0.00013884115825566067,run_2018-02-08-133649_,0.013,2,108,0.15823558879965471
24,relu,19,MobileNet,120,0.0007110001516669885,0.8831168826330792,0.273,24,0.267,SGD,1,0.0008407644218534716,run_2018-02-08-131416_,0.013,2,197,0.1671917050562959
24,tanh,22,MobileNet,498,0.00025648462216023524,0.29870128631591797,0.273,21,0.267,RMSProp,8,0.000134233839888681,run_2018-02-08-134919_,0.013,3,100,0.10035949091721118
24,tanh,26,InceptionV3,682,0.0005731565142495802,0.8899082561971945,0.273,18,0.267,SGD,1,1.3026109212597465e-05,run_2018-02-08-132240_,0.013,3,389,0.0333580557354057
24,tanh,29,InceptionV3,180,0.0036005478179101107,0.8073394488577449,0.273,18,0.267,Adam,4,5.826531646014584e-05,run_2018-02-08-141914_,0.013,3,121,0.13729296542761482
24,relu,25,InceptionResNetV2,472,0.009402838023977329,0.908256880733945,0.273,19,0.267,Adam,1,0.00030303689794181505,run_2018-02-08-131729_,0.013,2,268,0.03190583340697125
24,relu,21,InceptionV3,230,0.00665424056987208,0.765625,0.273,35,0.267,SGD,16,2.279950941597938e-05,run_2018-02-08-153414_,0.013,2,99,0.05501722926251359
24,tanh,13,InceptionResNetV2,978,0.00012882947262845318,0.669724766267549,0.273,18,0.267,RMSProp,4,0.00020753889586138015,run_2018-02-08-134213_,0.013,2,286,0.06508243080896674
24,tanh,18,Xception,337,0.00025552720420642577,0.29870128631591797,0.273,25,0.267,RMSProp,16,9.394238019451583e-05,run_2018-02-08-153139_,0.013,2,488,0.1237095677878801
24,tanh,17,InceptionResNetV2,154,0.0024308929635706755,0.75,0.273,31,0.267,RMSProp,2,3.822536554534092e-05,run_2018-02-08-141227_,0.013,3,199,0.29319317413415363
24,relu,29,Xception,115,0.0018078045931979642,0.921875,0.273,29,0.267,SGD,16,0.000313840334378048,run_2018-02-08-151424_,0.013,3,142,0.055067939320804615
24,relu,17,MobileNet,183,0.00027233924361869696,0.8348623809464482,0.273,17,0.267,SGD,1,0.00017379987110576712,run_2018-02-08-131800_,0.013,3,80,0.2617011372200081
24,relu,10,ResNet50,148,0.0025613010311029325,0.90625,0.273,39,0.267,RMSProp,1,3.2264818172448785e-05,run_2018-02-08-132218_,0.013,3,437,0.11642033735383384
24,tanh,13,InceptionV3,621,0.0007871953646858892,0.90625,0.273,28,0.267,SGD,1,2.6364306863722265e-05,run_2018-02-08-131825_,0.013,3,359,0.012384013109226332
24,relu,24,InceptionV3,176,0.003048358501380096,0.8899082561971945,0.273,19,0.267,SGD,1,0.00010638595155329936,run_2018-02-08-131900_,0.013,2,402,0.17301131393546076
